;No;Code;Browser
1953;1707;U+1F1F2 U+1F1F9;🇲🇹
1954;1708;U+1F1F2 U+1F1FA;🇲🇺
1955;№;Code;Browser
1956;1709;U+1F1F2 U+1F1FB;🇲🇻
1957;1710;U+1F1F2 U+1F1FC;🇲🇼
1958;1711;U+1F1F2 U+1F1FD;🇲🇽
1959;1712;U+1F1F2 U+1F1FE;🇲🇾
1960;1713;U+1F1F2 U+1F1FF;🇲🇿
1961;1714;U+1F1F3 U+1F1E6;🇳🇦
1962;1715;U+1F1F3 U+1F1E8;🇳🇨
1963;1716;U+1F1F3 U+1F1EA;🇳🇪
1964;1717;U+1F1F3 U+1F1EB;🇳🇫
1965;1718;U+1F1F3 U+1F1EC;🇳🇬
1966;1719;U+1F1F3 U+1F1EE;🇳🇮
1967;1720;U+1F1F3 U+1F1F1;🇳🇱
1968;1721;U+1F1F3 U+1F1F4;🇳🇴
1969;1722;U+1F1F3 U+1F1F5;🇳🇵
1970;1723;U+1F1F3 U+1F1F7;🇳🇷
1971;1724;U+1F1F3 U+1F1FA;🇳🇺
1972;1725;U+1F1F3 U+1F1FF;🇳🇿
1973;1726;U+1F1F4 U+1F1F2;🇴🇲
1974;1727;U+1F1F5 U+1F1E6;🇵🇦
1975;1728;U+1F1F5 U+1F1EA;🇵🇪
1976;№;Code;Browser
1977;1729;U+1F1F5 U+1F1EB;🇵🇫
1978;1730;U+1F1F5 U+1F1EC;🇵🇬
1979;1731;U+1F1F5 U+1F1ED;🇵🇭
1980;1732;U+1F1F5 U+1F1F0;🇵🇰
1981;1733;U+1F1F5 U+1F1F1;🇵🇱
1982;1734;U+1F1F5 U+1F1F2;🇵🇲
1983;1735;U+1F1F5 U+1F1F3;🇵🇳
1984;1736;U+1F1F5 U+1F1F7;🇵🇷
1985;1737;U+1F1F5 U+1F1F8;🇵🇸
1986;1738;U+1F1F5 U+1F1F9;🇵🇹
1987;1739;U+1F1F5 U+1F1FC;🇵🇼
1988;1740;U+1F1F5 U+1F1FE;🇵🇾
1989;1741;U+1F1F6 U+1F1E6;🇶🇦
1990;1742;U+1F1F7 U+1F1EA;🇷🇪
1991;1743;U+1F1F7 U+1F1F4;🇷🇴
1992;1744;U+1F1F7 U+1F1F8;🇷🇸
1993;1745;U+1F1F7 U+1F1FA;🇷🇺
1994;1746;U+1F1F7 U+1F1FC;🇷🇼
1995;1747;U+1F1F8 U+1F1E6;🇸🇦
1996;1748;U+1F1F8 U+1F1E7;🇸🇧
1997;№;Code;Browser
1998;1749;U+1F1F8 U+1F1E8;🇸🇨
1999;1750;U+1F1F8 U+1F1E9;🇸🇩
2000;1751;U+1F1F8 U+1F1EA;🇸🇪
2001;1752;U+1F1F8 U+1F1EC;🇸🇬
2002;1753;U+1F1F8 U+1F1ED;🇸🇭
2003;1754;U+1F1F8 U+1F1EE;🇸🇮
2004;1755;U+1F1F8 U+1F1EF;🇸🇯
2005;1756;U+1F1F8 U+1F1F0;🇸🇰
2006;1757;U+1F1F8 U+1F1F1;🇸🇱
2007;1758;U+1F1F8 U+1F1F2;🇸🇲
2008;1759;U+1F1F8 U+1F1F3;🇸🇳
2009;1760;U+1F1F8 U+1F1F4;🇸🇴
2010;1761;U+1F1F8 U+1F1F7;🇸🇷
2011;1762;U+1F1F8 U+1F1F8;🇸🇸
2012;1763;U+1F1F8 U+1F1F9;🇸🇹
2013;1764;U+1F1F8 U+1F1FB;🇸🇻
2014;1765;U+1F1F8 U+1F1FD;🇸🇽
2015;1766;U+1F1F8 U+1F1FE;🇸🇾
2016;1767;U+1F1F8 U+1F1FF;🇸🇿
2017;1768;U+1F1F9 U+1F1E6;🇹🇦
2018;№;Code;Browser
2019;1769;U+1F1F9 U+1F1E8;🇹🇨
2020;1770;U+1F1F9 U+1F1E9;🇹🇩
2021;1771;U+1F1F9 U+1F1EB;🇹🇫
2022;1772;U+1F1F9 U+1F1EC;🇹🇬
2023;1773;U+1F1F9 U+1F1ED;🇹🇭
2024;1774;U+1F1F9 U+1F1EF;🇹🇯
2025;1775;U+1F1F9 U+1F1F0;🇹🇰
2026;1776;U+1F1F9 U+1F1F1;🇹🇱
2027;1777;U+1F1F9 U+1F1F2;🇹🇲
2028;1778;U+1F1F9 U+1F1F3;🇹🇳
2029;1779;U+1F1F9 U+1F1F4;🇹🇴
2030;1780;U+1F1F9 U+1F1F7;🇹🇷
2031;1781;U+1F1F9 U+1F1F9;🇹🇹
2032;1782;U+1F1F9 U+1F1FB;🇹🇻
2033;1783;U+1F1F9 U+1F1FC;🇹🇼
2034;1784;U+1F1F9 U+1F1FF;🇹🇿
2035;1785;U+1F1FA U+1F1E6;🇺🇦
2036;1786;U+1F1FA U+1F1EC;🇺🇬
2037;1787;U+1F1FA U+1F1F2;🇺🇲
2038;1788;U+1F1FA U+1F1F3;🇺🇳
2039;№;Code;Browser
2040;1789;U+1F1FA U+1F1F8;🇺🇸
2041;1790;U+1F1FA U+1F1FE;🇺🇾
2042;1791;U+1F1FA U+1F1FF;🇺🇿
2043;1792;U+1F1FB U+1F1E6;🇻🇦
2044;1793;U+1F1FB U+1F1E8;🇻🇨
2045;1794;U+1F1FB U+1F1EA;🇻🇪
2046;1795;U+1F1FB U+1F1EC;🇻🇬
2047;1796;U+1F1FB U+1F1EE;🇻🇮
2048;1797;U+1F1FB U+1F1F3;🇻🇳
2049;1798;U+1F1FB U+1F1FA;🇻🇺
2050;1799;U+1F1FC U+1F1EB;🇼🇫
2051;1800;U+1F1FC U+1F1F8;🇼🇸
2052;1801;U+1F1FD U+1F1F0;🇽🇰
2053;1802;U+1F1FE U+1F1EA;🇾🇪
2054;1803;U+1F1FE U+1F1F9;🇾🇹
2055;1804;U+1F1FF U+1F1E6;🇿🇦
2056;1805;U+1F1FF U+1F1F2;🇿🇲
2057;1806;U+1F1FF U+1F1FC;🇿🇼
2058;subdivision-flag;subdivision-flag;subdivision-flag
2059;№;Code;Browser
2060;1807;U+1F3F4 U+E0067 U+E0062 U+E0065 U+E006E U+E0067 U+E007F;🏴󠁧󠁢󠁥󠁮󠁧󠁿
2061;1808;U+1F3F4 U+E0067 U+E0062 U+E0073 U+E0063 U+E0074 U+E007F;🏴󠁧󠁢󠁳󠁣󠁴󠁿
