Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion
24;U+1F61B;😛;;;;;;;;—;—;—;—;face with tongue
25;U+1F61C;😜;;;;;;;;;;;;winking face with tongue
26;U+1F92A;🤪;;;;;;;;—;—;—;—;zany face
27;U+1F61D;😝;;;;;;;;;;—;—;squinting face with tongue
28;U+1F911;🤑;;;;;;;;—;—;—;—;money-mouth face
face-hand;face-hand;face-hand;face-hand;face-hand;face-hand;face-hand;face-hand;face-hand;face-hand;face-hand;face-hand;face-hand;face-hand;face-hand
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
29;U+1F917;🤗;;;;;;;;—;—;—;—;hugging face
30;U+1F92D;🤭;;;;;;;;—;—;—;—;face with hand over mouth
31;U+1F92B;🤫;;;;;;;;—;—;—;—;shushing face
32;U+1F914;🤔;;;;;;;;—;—;—;—;thinking face
face-neutral-skeptical;face-neutral-skeptical;face-neutral-skeptical;face-neutral-skeptical;face-neutral-skeptical;face-neutral-skeptical;face-neutral-skeptical;face-neutral-skeptical;face-neutral-skeptical;face-neutral-skeptical;face-neutral-skeptical;face-neutral-skeptical;face-neutral-skeptical;face-neutral-skeptical;face-neutral-skeptical
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
33;U+1F910;🤐;;;;;;;;—;—;—;—;zipper-mouth face
34;U+1F928;🤨;;;;;;;;—;—;—;—;face with raised eyebrow
35;U+1F610;😐;;;;;;;;—;—;—;—;neutral face
36;U+1F611;😑;;;;;;;;—;—;—;—;expressionless face
37;U+1F636;😶;;;;;;;;—;—;—;—;face without mouth
38;U+1F60F;😏;;;;;;;;;;;;smirking face
39;U+1F612;😒;;;;;;;;;;;;unamused face
40;U+1F644;🙄;;;;;;;;—;—;—;—;face with rolling eyes
41;U+1F62C;😬;;;;;;;;—;—;—;—;grimacing face
42;U+1F925;🤥;;;;;;;;—;—;—;—;lying face
face-sleepy;face-sleepy;face-sleepy;face-sleepy;face-sleepy;face-sleepy;face-sleepy;face-sleepy;face-sleepy;face-sleepy;face-sleepy;face-sleepy;face-sleepy;face-sleepy;face-sleepy
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
43;U+1F60C;😌;;;;;;;;;;;;relieved face
44;U+1F614;😔;;;;;;;;;;;;pensive face
45;U+1F62A;😪;;;;;;;;;;—;;sleepy face
46;U+1F924;🤤;;;;;;;;—;—;—;—;drooling face
47;U+1F634;😴;;;;;;;;—;—;—;—;sleeping face
face-unwell;face-unwell;face-unwell;face-unwell;face-unwell;face-unwell;face-unwell;face-unwell;face-unwell;face-unwell;face-unwell;face-unwell;face-unwell;face-unwell;face-unwell
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
48;U+1F637;😷;;;;;;;;;;—;;face with medical mask
49;U+1F912;🤒;;;;;;;;—;—;—;—;face with thermometer
50;U+1F915;🤕;;;;;;;;—;—;—;—;face with head-bandage
51;U+1F922;🤢;;;;;;;;—;—;—;—;nauseated face
52;U+1F92E;🤮;;;;;;;;—;—;—;—;face vomiting
53;U+1F927;🤧;;;;;;;;—;—;—;—;sneezing face
54;U+1F975;🥵;;;;;;;;—;—;—;—;hot face
55;U+1F976;🥶;;;;;;;;—;—;—;—;cold face
56;U+1F974;🥴;;;;;;;;—;—;—;—;woozy face
57;U+1F635;😵;;;;;;;;;—;;;dizzy face
58;U+1F92F;🤯;;;;;;;;—;—;—;—;exploding head
face-hat;face-hat;face-hat;face-hat;face-hat;face-hat;face-hat;face-hat;face-hat;face-hat;face-hat;face-hat;face-hat;face-hat;face-hat
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
59;U+1F920;🤠;;;;;;;;—;—;—;—;cowboy hat face
60;U+1F973;🥳;;;;;;;;—;—;—;—;partying face
61;U+1F978;🥸;—;;—;—;—;;—;—;—;—;—;⊛ disguised face
face-glasses;face-glasses;face-glasses;face-glasses;face-glasses;face-glasses;face-glasses;face-glasses;face-glasses;face-glasses;face-glasses;face-glasses;face-glasses;face-glasses;face-glasses
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
62;U+1F60E;😎;;;;;;;;;—;—;—;smiling face with sunglasses
63;U+1F913;🤓;;;;;;;;—;—;—;—;nerd face
64;U+1F9D0;🧐;;;;;;;;—;—;—;—;face with monocle
face-concerned;face-concerned;face-concerned;face-concerned;face-concerned;face-concerned;face-concerned;face-concerned;face-concerned;face-concerned;face-concerned;face-concerned;face-concerned;face-concerned;face-concerned
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
65;U+1F615;😕;;;;;;;;;—;—;—;confused face
66;U+1F61F;😟;;;;;;;;;—;—;—;worried face
67;U+1F641;🙁;;;;;;;;—;—;—;—;slightly frowning face
68;U+2639;☹;;;;;;;;—;—;—;—;frowning face
69;U+1F62E;😮;;;;;;;;—;—;—;—;face with open mouth
70;U+1F62F;😯;;;;;;;;—;—;—;—;hushed face
71;U+1F632;😲;;;;;;;;;;—;;astonished face
72;U+1F633;😳;;;;;;;;;;—;;flushed face
73;U+1F97A;🥺;;;;;;;;—;—;—;—;pleading face
74;U+1F626;😦;;;;;;;;—;—;—;—;frowning face with open mouth
75;U+1F627;😧;;;;;;;;—;—;—;—;anguished face
76;U+1F628;😨;;;;;;;;;;—;;fearful face
77;U+1F630;😰;;;;;;;;;;—;;anxious face with sweat
78;U+1F625;😥;;;;;;;;;;—;—;sad but relieved face
79;U+1F622;😢;;;;;;;;;;;;crying face
80;U+1F62D;😭;;;;;;;;;;;;loudly crying face
81;U+1F631;😱;;;;;;;;;;;;face screaming in fear
82;U+1F616;😖;;;;;;;;;;;;confounded face
83;U+1F623;😣;;;;;;;;;;;;persevering face
84;U+1F61E;😞;;;;;;;;;;;—;disappointed face
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
85;U+1F613;😓;;;;;;;;;;;;downcast face with sweat
86;U+1F629;😩;;;;;;;;;—;—;;weary face
87;U+1F62B;😫;;;;;;;;;—;—;;tired face
88;U+1F971;🥱;;;;;;;;—;—;—;—;yawning face
face-negative;face-negative;face-negative;face-negative;face-negative;face-negative;face-negative;face-negative;face-negative;face-negative;face-negative;face-negative;face-negative;face-negative;face-negative
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
89;U+1F624;😤;;;;;;;;;—;—;;face with steam from nose
90;U+1F621;😡;;;;;;;;;;;;pouting face
91;U+1F620;😠;;;;;;;;;;;;angry face
92;U+1F92C;🤬;;;;;;;;—;—;—;—;face with symbols on mouth
93;U+1F608;😈;;;;;;;;—;—;—;—;smiling face with horns
94;U+1F47F;👿;;;;;;;;;;—;;angry face with horns
95;U+1F480;💀;;;;;;;;;;—;;skull
96;U+2620;☠;;;;;;;;—;—;—;—;skull and crossbones
face-costume;face-costume;face-costume;face-costume;face-costume;face-costume;face-costume;face-costume;face-costume;face-costume;face-costume;face-costume;face-costume;face-costume;face-costume
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
97;U+1F4A9;💩;;;;;;;;;;—;;pile of poo
98;U+1F921;🤡;;;;;;;;—;—;—;—;clown face
99;U+1F479;👹;;;;;;;;;—;—;;ogre
100;U+1F47A;👺;;;;;;;;;—;—;;goblin
101;U+1F47B;👻;;;;;;;;;;—;;ghost
102;U+1F47D;👽;;;;;;;;;;—;;alien
103;U+1F47E;👾;;;;;;;;;;—;;alien monster
104;U+1F916;🤖;;;;;;;;—;—;—;—;robot
cat-face;cat-face;cat-face;cat-face;cat-face;cat-face;cat-face;cat-face;cat-face;cat-face;cat-face;cat-face;cat-face;cat-face;cat-face
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
105;U+1F63A;😺;;;;;;;;;—;—;;grinning cat
106;U+1F638;😸;;;;;;;;;—;—;;grinning cat with smiling eyes
107;U+1F639;😹;;;;;;;;;—;—;;cat with tears of joy
108;U+1F63B;😻;;;;;;;;;—;—;;smiling cat with heart-eyes
109;U+1F63C;😼;;;;;;;;;—;—;;cat with wry smile
110;U+1F63D;😽;;;;;;;;;—;—;;kissing cat
111;U+1F640;🙀;;;;;;;;;—;—;;weary cat
112;U+1F63F;😿;;;;;;;;;—;—;;crying cat
113;U+1F63E;😾;;;;;;;;;—;—;;pouting cat
monkey-face;monkey-face;monkey-face;monkey-face;monkey-face;monkey-face;monkey-face;monkey-face;monkey-face;monkey-face;monkey-face;monkey-face;monkey-face;monkey-face;monkey-face
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
114;U+1F648;🙈;;;;;;;;;—;—;;see-no-evil monkey
115;U+1F649;🙉;;;;;;;;;—;—;;hear-no-evil monkey
116;U+1F64A;🙊;;;;;;;;;—;—;;speak-no-evil monkey
emotion;emotion;emotion;emotion;emotion;emotion;emotion;emotion;emotion;emotion;emotion;emotion;emotion;emotion;emotion
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
117;U+1F48B;💋;;;;;;;;;;;;kiss mark
118;U+1F48C;💌;;;;;;;;;—;;;love letter
119;U+1F498;💘;;;;;;;;;;—;;heart with arrow
120;U+1F49D;💝;;;;;;;;;;—;;heart with ribbon
121;U+1F496;💖;;;;;;;;;—;—;;sparkling heart
122;U+1F497;💗;;;;;;;;;;—;—;growing heart
123;U+1F493;💓;;;;;;;;;;;;beating heart
124;U+1F49E;💞;;;;;;;;;—;—;;revolving hearts
125;U+1F495;💕;;;;;;;;;—;;;two hearts
126;U+1F49F;💟;;;;;;;;;;—;—;heart decoration
127;U+2763;❣;;;;;;;;—;—;—;—;heart exclamation
128;U+1F494;💔;;;;;;;;;;;;broken heart
129;U+2764;❤;;;;;;;;;;;;red heart
130;U+1F9E1;🧡;;;;;;;;—;—;—;—;orange heart
131;U+1F49B;💛;;;;;;;;;;—;;yellow heart
132;U+1F49A;💚;;;;;;;;;;—;;green heart
133;U+1F499;💙;;;;;;;;;;—;;blue heart
134;U+1F49C;💜;;;;;;;;;;—;;purple heart
135;U+1F90E;🤎;;;;;;;;—;—;—;—;brown heart
136;U+1F5A4;🖤;;;;;;;;—;—;—;—;black heart
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
137;U+1F90D;🤍;;;;;;;;—;—;—;—;white heart
138;U+1F4AF;💯;;;;;;;;;—;—;;hundred points
139;U+1F4A2;💢;;;;;;;;;;;;anger symbol
140;U+1F4A5;💥;;;;;;;;;—;;;collision
141;U+1F4AB;💫;;;;;;;;;—;—;;dizzy
142;U+1F4A6;💦;;;;;;;;;;;;sweat droplets
143;U+1F4A8;💨;;;;;;;;;;;;dashing away
144;U+1F573;🕳;;;;;;;;—;—;—;—;hole
145;U+1F4A3;💣;;;;;;;;;;;;bomb
146;U+1F4AC;💬;;;;;;;;;—;—;;speech balloon
147;U+1F441 U+FE0F U+200D U+1F5E8 U+FE0F;👁️‍🗨️;;;;;;;;—;—;—;—;eye in speech bubble
148;U+1F5E8;🗨;;;;;;;;—;—;—;—;left speech bubble
149;U+1F5EF;🗯;;;;;;;;—;—;—;—;right anger bubble
150;U+1F4AD;💭;;;;;;;;—;—;—;—;thought balloon
151;U+1F4A4;💤;;;;;;;;;;;;zzz
People & Body;People & Body;People & Body;People & Body;People & Body;People & Body;People & Body;People & Body;People & Body;People & Body;People & Body;People & Body;People & Body;People & Body;People & Body
hand-fingers-open;hand-fingers-open;hand-fingers-open;hand-fingers-open;hand-fingers-open;hand-fingers-open;hand-fingers-open;hand-fingers-open;hand-fingers-open;hand-fingers-open;hand-fingers-open;hand-fingers-open;hand-fingers-open;hand-fingers-open;hand-fingers-open
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
152;U+1F44B;👋;;;;;;;;;;—;;waving hand
153;U+1F91A;🤚;;;;;;;;—;—;—;—;raised back of hand
154;U+1F590;🖐;;;;;;;;—;—;—;—;hand with fingers splayed
155;U+270B;✋;;;;;;;;;;;;raised hand
156;U+1F596;🖖;;;;;;;;—;—;—;—;vulcan salute
hand-fingers-partial;hand-fingers-partial;hand-fingers-partial;hand-fingers-partial;hand-fingers-partial;hand-fingers-partial;hand-fingers-partial;hand-fingers-partial;hand-fingers-partial;hand-fingers-partial;hand-fingers-partial;hand-fingers-partial;hand-fingers-partial;hand-fingers-partial;hand-fingers-partial
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
157;U+1F44C;👌;;;;;;;;;;—;;OK hand
158;U+1F90C;🤌;—;;—;—;—;;—;—;—;—;—;⊛ pinched fingers
159;U+1F90F;🤏;;;;;;;;—;—;—;—;pinching hand
160;U+270C;✌;;;;;;;;;;;;victory hand
161;U+1F91E;🤞;;;;;;;;—;—;—;—;crossed fingers
162;U+1F91F;🤟;;;;;;;;—;—;—;—;love-you gesture
163;U+1F918;🤘;;;;;;;;—;—;—;—;sign of the horns
164;U+1F919;🤙;;;;;;;;—;—;—;—;call me hand
hand-single-finger;hand-single-finger;hand-single-finger;hand-single-finger;hand-single-finger;hand-single-finger;hand-single-finger;hand-single-finger;hand-single-finger;hand-single-finger;hand-single-finger;hand-single-finger;hand-single-finger;hand-single-finger;hand-single-finger
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
165;U+1F448;👈;;;;;;;;;;—;;backhand index pointing left
166;U+1F449;👉;;;;;;;;;;—;;backhand index pointing right
167;U+1F446;👆;;;;;;;;;;—;;backhand index pointing up
168;U+1F595;🖕;;;;;;;;—;—;—;—;middle finger
169;U+1F447;👇;;;;;;;;;;—;;backhand index pointing down
170;U+261D;☝;;;;;;;;;;—;;index pointing up
hand-fingers-closed;hand-fingers-closed;hand-fingers-closed;hand-fingers-closed;hand-fingers-closed;hand-fingers-closed;hand-fingers-closed;hand-fingers-closed;hand-fingers-closed;hand-fingers-closed;hand-fingers-closed;hand-fingers-closed;hand-fingers-closed;hand-fingers-closed;hand-fingers-closed
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
171;U+1F44D;👍;;;;;;;;;;;;thumbs up
172;U+1F44E;👎;;;;;;;;;;—;;thumbs down
173;U+270A;✊;;;;;;;;;;;;raised fist
174;U+1F44A;👊;;;;;;;;;;;;oncoming fist
175;U+1F91B;🤛;;;;;;;;—;—;—;—;left-facing fist
176;U+1F91C;🤜;;;;;;;;—;—;—;—;right-facing fist
hands;hands;hands;hands;hands;hands;hands;hands;hands;hands;hands;hands;hands;hands;hands
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
177;U+1F44F;👏;;;;;;;;;;—;;clapping hands
178;U+1F64C;🙌;;;;;;;;;;—;;raising hands
179;U+1F450;👐;;;;;;;;;;—;—;open hands
180;U+1F932;🤲;;;;;;;;—;—;—;—;palms up together
181;U+1F91D;🤝;;;;;;;;—;—;—;—;handshake
182;U+1F64F;🙏;;;;;;;;;;—;;folded hands
hand-prop;hand-prop;hand-prop;hand-prop;hand-prop;hand-prop;hand-prop;hand-prop;hand-prop;hand-prop;hand-prop;hand-prop;hand-prop;hand-prop;hand-prop
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
183;U+270D;✍;;;;;;;;—;—;—;—;writing hand
184;U+1F485;💅;;;;;;;;;;—;;nail polish
185;U+1F933;🤳;;;;;;;;—;—;—;—;selfie
body-parts;body-parts;body-parts;body-parts;body-parts;body-parts;body-parts;body-parts;body-parts;body-parts;body-parts;body-parts;body-parts;body-parts;body-parts
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
186;U+1F4AA;💪;;;;;;;;;;—;;flexed biceps
187;U+1F9BE;🦾;;;;;;;;—;—;—;—;mechanical arm
188;U+1F9BF;🦿;;;;;;;;—;—;—;—;mechanical leg
189;U+1F9B5;🦵;;;;;;;;—;—;—;—;leg
190;U+1F9B6;🦶;;;;;;;;—;—;—;—;foot
191;U+1F442;👂;;;;;;;;;;;;ear
192;U+1F9BB;🦻;;;;;;;;—;—;—;—;ear with hearing aid
193;U+1F443;👃;;;;;;;;;;—;;nose
194;U+1F9E0;🧠;;;;;;;;—;—;—;—;brain
195;U+1FAC0;🫀;… …;… …;… …;… …;… …;… …;… …;… …;… …;… …;… …;⊛ anatomical heart
196;U+1FAC1;🫁;… …;… …;… …;… …;… …;… …;… …;… …;… …;… …;… …;⊛ lungs
197;U+1F9B7;🦷;;;;;;;;—;—;—;—;tooth
198;U+1F9B4;🦴;;;;;;;;—;—;—;—;bone
199;U+1F440;👀;;;;;;;;;;;;eyes
200;U+1F441;👁;;;;;;;;—;—;—;—;eye
201;U+1F445;👅;;;;;;;;;—;—;;tongue
202;U+1F444;👄;;;;;;;;;;—;;mouth
person;person;person;person;person;person;person;person;person;person;person;person;person;person;person
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
203;U+1F476;👶;;;;;;;;;;—;;baby
204;U+1F9D2;🧒;;;;;;;;—;—;—;—;child
205;U+1F466;👦;;;;;;;;;;—;—;boy
206;U+1F467;👧;;;;;;;;;;—;—;girl
207;U+1F9D1;🧑;;;;;;;;—;—;—;—;person
208;U+1F471;👱;;;;;;;;;;—;;person: blond hair
209;U+1F468;👨;;;;;;;;;;—;;man
210;U+1F9D4;🧔;;;;;;;;—;—;—;—;man: beard
211;U+1F468 U+200D U+1F9B0;👨‍🦰;;;;;;;;—;—;—;—;man: red hair
212;U+1F468 U+200D U+1F9B1;👨‍🦱;;;;;;;;—;—;—;—;man: curly hair
213;U+1F468 U+200D U+1F9B3;👨‍🦳;;;;;;;;—;—;—;—;man: white hair
214;U+1F468 U+200D U+1F9B2;👨‍🦲;;;;;;;;—;—;—;—;man: bald
215;U+1F469;👩;;;;;;;;;;—;;woman
216;U+1F469 U+200D U+1F9B0;👩‍🦰;;;;;;;;—;—;—;—;woman: red hair
217;U+1F9D1 U+200D U+1F9B0;🧑‍🦰;;;—;—;;—;—;—;—;—;—;person: red hair
218;U+1F469 U+200D U+1F9B1;👩‍🦱;;;;;;;;—;—;—;—;woman: curly hair
219;U+1F9D1 U+200D U+1F9B1;🧑‍🦱;;;—;—;;—;—;—;—;—;—;person: curly hair
220;U+1F469 U+200D U+1F9B3;👩‍🦳;;;;;;;;—;—;—;—;woman: white hair
221;U+1F9D1 U+200D U+1F9B3;🧑‍🦳;;;—;—;;—;—;—;—;—;—;person: white hair
222;U+1F469 U+200D U+1F9B2;👩‍🦲;;;;;;;;—;—;—;—;woman: bald
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
223;U+1F9D1 U+200D U+1F9B2;🧑‍🦲;;;—;—;;—;—;—;—;—;—;person: bald
224;U+1F471 U+200D U+2640 U+FE0F;👱‍♀️;;;;;;;;—;—;—;—;woman: blond hair
225;U+1F471 U+200D U+2642 U+FE0F;👱‍♂️;;;;;;;;—;—;—;—;man: blond hair
226;U+1F9D3;🧓;;;;;;;;—;—;—;—;older person
227;U+1F474;👴;;;;;;;;;;—;;old man
228;U+1F475;👵;;;;;;;;;;—;;old woman
person-gesture;person-gesture;person-gesture;person-gesture;person-gesture;person-gesture;person-gesture;person-gesture;person-gesture;person-gesture;person-gesture;person-gesture;person-gesture;person-gesture;person-gesture
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
229;U+1F64D;🙍;;;;;;;;;—;—;;person frowning
230;U+1F64D U+200D U+2642 U+FE0F;🙍‍♂️;;;;;;;;—;—;—;—;man frowning
231;U+1F64D U+200D U+2640 U+FE0F;🙍‍♀️;;;;;;;;—;—;—;—;woman frowning
232;U+1F64E;🙎;;;;;;;;;—;—;;person pouting
233;U+1F64E U+200D U+2642 U+FE0F;🙎‍♂️;;;;;;;;—;—;—;—;man pouting
234;U+1F64E U+200D U+2640 U+FE0F;🙎‍♀️;;;;;;;;—;—;—;—;woman pouting
235;U+1F645;🙅;;;;;;;;;;—;;person gesturing NO
236;U+1F645 U+200D U+2642 U+FE0F;🙅‍♂️;;;;;;;;—;—;—;—;man gesturing NO
237;U+1F645 U+200D U+2640 U+FE0F;🙅‍♀️;;;;;;;;—;—;—;—;woman gesturing NO
238;U+1F646;🙆;;;;;;;;;;—;;person gesturing OK
239;U+1F646 U+200D U+2642 U+FE0F;🙆‍♂️;;;;;;;;—;—;—;—;man gesturing OK
240;U+1F646 U+200D U+2640 U+FE0F;🙆‍♀️;;;;;;;;—;—;—;—;woman gesturing OK
241;U+1F481;💁;;;;;;;;;;—;—;person tipping hand
242;U+1F481 U+200D U+2642 U+FE0F;💁‍♂️;;;;;;;;—;—;—;—;man tipping hand
243;U+1F481 U+200D U+2640 U+FE0F;💁‍♀️;;;;;;;;—;—;—;—;woman tipping hand
244;U+1F64B;🙋;;;;;;;;;—;—;;person raising hand
245;U+1F64B U+200D U+2642 U+FE0F;🙋‍♂️;;;;;;;;—;—;—;—;man raising hand
246;U+1F64B U+200D U+2640 U+FE0F;🙋‍♀️;;;;;;;;—;—;—;—;woman raising hand
247;U+1F9CF;🧏;;;;;;;;—;—;—;—;deaf person
248;U+1F9CF U+200D U+2642 U+FE0F;🧏‍♂️;;;;—;;;;—;—;—;—;deaf man
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
249;U+1F9CF U+200D U+2640 U+FE0F;🧏‍♀️;;;;—;;;;—;—;—;—;deaf woman
250;U+1F647;🙇;;;;;;;;;;—;;person bowing
251;U+1F647 U+200D U+2642 U+FE0F;🙇‍♂️;;;;;;;;—;—;—;—;man bowing
252;U+1F647 U+200D U+2640 U+FE0F;🙇‍♀️;;;;;;;;—;—;—;—;woman bowing
253;U+1F926;🤦;;;;;;;;—;—;—;—;person facepalming
254;U+1F926 U+200D U+2642 U+FE0F;🤦‍♂️;;;;;;;;—;—;—;—;man facepalming
255;U+1F926 U+200D U+2640 U+FE0F;🤦‍♀️;;;;;;;;—;—;—;—;woman facepalming
256;U+1F937;🤷;;;;;;;;—;—;—;—;person shrugging
257;U+1F937 U+200D U+2642 U+FE0F;🤷‍♂️;;;;;;;;—;—;—;—;man shrugging
258;U+1F937 U+200D U+2640 U+FE0F;🤷‍♀️;;;;;;;;—;—;—;—;woman shrugging
person-role;person-role;person-role;person-role;person-role;person-role;person-role;person-role;person-role;person-role;person-role;person-role;person-role;person-role;person-role
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
259;U+1F9D1 U+200D U+2695 U+FE0F;🧑‍⚕️;;;—;—;;—;—;—;—;—;—;health worker
260;U+1F468 U+200D U+2695 U+FE0F;👨‍⚕️;;;;;;;;—;—;—;—;man health worker
261;U+1F469 U+200D U+2695 U+FE0F;👩‍⚕️;;;;;;;;—;—;—;—;woman health worker
262;U+1F9D1 U+200D U+1F393;🧑‍🎓;;;—;—;;—;—;—;—;—;—;student
263;U+1F468 U+200D U+1F393;👨‍🎓;;;;;;;;—;—;—;—;man student
264;U+1F469 U+200D U+1F393;👩‍🎓;;;;;;;;—;—;—;—;woman student
265;U+1F9D1 U+200D U+1F3EB;🧑‍🏫;;;—;—;;—;—;—;—;—;—;teacher
266;U+1F468 U+200D U+1F3EB;👨‍🏫;;;;;;;;—;—;—;—;man teacher
267;U+1F469 U+200D U+1F3EB;👩‍🏫;;;;;;;;—;—;—;—;woman teacher
268;U+1F9D1 U+200D U+2696 U+FE0F;🧑‍⚖️;;;—;—;;—;—;—;—;—;—;judge
269;U+1F468 U+200D U+2696 U+FE0F;👨‍⚖️;;;;;;;;—;—;—;—;man judge
